CensusTract,TractIncomeLevel,2015TractMedianHouseHoldIncome
980000,Unknown,0
980100,Unknown,0
980300,Unknown,0
980400,Unknown,0
980500,Unknown,0
980600,Unknown,0
980700,Unknown,0
980800,Unknown,0
980900,Unknown,0
981000,Unknown,0
981100,Unknown,0
981200,Unknown,0
982200,Unknown,0
51100,Low,"9,773"
260900,Low,"9,974"
50900,Low,"11,975"
130300,Moderate,"13,986"
51000,Low,"14,544"
562300,Low,"14,764"
120400,Low,"15,960"
562000,Moderate,"16,318"
130100,Low,"16,630"
40500,Unkown,"17,441"
50100,Low,"17,692"
30500,Low,"17,997"
130600,Moderate,"18,012"
40200,Low,"19,214"
981800,Unknown,"19,219"
120700,Moderate,"19,762"
111400,Low,"21,154"
40600,Moderate,"21,277"
250900,Low,"21,607"
261400,Low,"23,590"
261500,Moderate,"23,906"
250700,Low,"23,977"
561900,Moderate,"24,000"
130400,Low,"24,250"
111500,Low,"24,308"
120300,Low,"25,368"
120800,Low,"25,689"
40400,Middle,"26,196"
50600,Moderate,"26,250"
262000,Low,"26,361"
101600,Low,"26,905"
40900,Moderate,"26,964"
130200,Low,"27,500"
300100,Low,"27,733"
481000,Low,"28,155"
562600,Moderate,"29,318"
180300,Low,"29,646"
562400,Moderate,"30,163"
563200,Moderate,"30,543"
241200,Modereate,"31,466"
101700,Low,"32,163"
270300,Moderate,"32,788"
80400,Middle,"32,837"
111300,Moderate,"33,400"
90300,Moderate,"33,816"
70900,Middle,"33,929"
562700,Middle,"33,938"
290100,Moderate,"34,008"
191500,Moderate,"34,496"
561600,Moderate,"35,313"
562500,Moderate,"35,519"
562900,Moderate,"36,364"
281400,Moderate,"36,490"
80700,Moderate,"36,944"
290200,Moderate,"37,183"
60500,Middle,"37,273"
60300,Middle,"37,431"
271500,Moderate,"37,438"
180700,Moderate,"39,023"
191900,Moderate,"39,315"
220600,Middle,"40,000"
80200,Middle,"40,144"
210700,Moderate,"40,403"
561700,Moderate,"40,500"
240600,Moderate,"40,566"
270400,Moderate,"40,673"
562800,Moderate,"40,735"
260200,Moderate,"40,869"
100500,Moderate,"41,051"
10300,Middle,"41,071"
101100,Moderate,"41,615"
192000,Middle,"41,891"
191400,Moderate,"42,216"
202200,Moderate,"42,226"
160800,Moderate,"43,068"
281500,Moderate,"43,333"
170600,Middle,"43,508"
170200,Upper,"43,750"
250300,Low,"43,750"
191600,Moderate,"43,977"
290400,Middle,"44,254"
101400,Middle,"45,761"
70600,Upper,"47,336"
310200,Middle,"47,500"
141300,Middle,"48,000"
110200,Middle,"48,011"
320400,Moderate,"48,043"
320700,Middle,"48,833"
191700,Middle,"49,321"
80900,Moderate,"49,750"
260700,Middle,"50,608"
90100,Middle,"50,781"
70500,Upper,"51,250"
140500,Upper,"51,389"
80600,Upper,"51,509"
70800,Upper,"51,703"
563100,Middle,"51,902"
320600,Middle,"52,344"
160900,Upper,"53,241"
90200,Middle,"53,724"
270100,Middle,"54,053"
70300,Upper,"54,821"
191800,Middle,"55,271"
151700,Middle,"56,114"
101800,Middle,"56,556"
202300,Middle,"56,600"
151600,Middle,"57,204"
261200,Middle,"59,120"
563000,Middle,"59,541"
141400,Upper,"61,856"
191100,Middle,"62,206"
140600,Upper,"65,417"
190300,Middle,"65,469"
270800,Middle,"66,161"
110600,Upper,"67,411"
20100,Upper,"67,750"
140800,Upper,"67,944"
310300,Middle,"68,011"
141100,Upper,"68,105"
140200,Upper,"72,115"
141000,Upper,"77,857"
20300,Upper,"94,643"
140300,Upper,"113,553"
140100,Upper,"119,688"
140400,Upper,"127,813"
