YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL
1871,----,42.7,47.3,56.2,64.8,73.9,71.7,73.3,59.3,54.8,38.2,29.2,----
1872,27.8,30.5,30.7,52.5,62.2,70.1,75.2,73.7,65.3,51.2,35.8,24.8,50
1873,28.1,29.9,36,45.2,60.7,71.4,77.1,71.1,63.2,50.4,35.3,36.8,50.4
1874,34.9,33.9,38.5,41.8,61.4,72.7,73.6,69.3,67.2,51.9,40.1,34.7,51.7
1875,22.6,20.8,35.6,46.6,61.6,70,73.4,70,61.6,50.4,38.2,36.6,49
1876,37,36.1,36.7,48,61,74.4,77.6,74.8,63,49.6,42.7,23.4,51.9
1877,27.6,37.1,35.7,52,59.6,72.4,75.8,74.1,66.4,57.8,43.6,43,53.8
1878,32.1,35.8,46.4,57.2,59.8,66.9,79.5,75.2,67,54.5,42.4,27,53.6
1879,26.6,27.3,41.4,48.4,63.4,69.6,76.8,72.1,62.7,61.1,43.3,38.8,52.6
1880,44.4,37.8,39.7,54.2,69.5,73.4,74.4,74.7,66,53.5,35.7,26.7,54.2
1881,27.6,30,37.1,47.2,67.2,69.4,77,76,77.2,60,44.9,40.9,54.5
1882,32.6,39.6,43.2,51,57.2,70.8,73,72.7,66.8,58.9,41.6,31.2,53.2
1883,28.4,34.8,34,50.8,61.4,71.4,74,70.4,63.8,55.6,46.6,36.4,52.3
1884,24,40.8,40.6,50.4,63.4,74.3,73.2,73.9,72.4,59.2,43.6,35,54.2
1885,28.2,23.6,32,50.2,62.6,69.6,77.6,71.9,65.6,53.2,43.6,36.2,51.2
1886,27.6,30.6,41.4,56.6,63.6,68.7,74.6,73.8,68.7,56.4,42.4,30,52.9
1887,31,38.7,37.4,51.9,68.5,71.8,80.3,71.9,64.6,53.2,44,36,54.1
1888,28.2,34.6,37,50.2,61.8,71.9,72.4,72,61.6,49.8,45.3,35.8,51.7
1889,36.5,28,43.2,52.4,62.4,68.2,74.6,70.2,65.6,51,43.5,45.6,53.4
1890,41.4,42,35.8,52.6,62,73.5,74,71.1,64.6,54.2,45.4,32.1,54.1
1891,35,39.2,37.6,53.4,58.8,72.3,70,71.7,69.4,53.4,42.3,42.1,53.8
1892,28,36.2,34.9,50.2,61.1,74.6,73.4,73.5,66.5,54,41.6,31.3,52.1
1893,21.6,31.8,40.1,51.4,59.6,71.8,73.7,71.4,65.3,55.4,41.6,35.6,51.6
1894,37,31.7,47.4,51,61.6,71.6,76.2,73.6,70.4,56.4,40.4,36.6,54.5
1895,27,22.8,36.4,53.6,63.3,74.7,71.6,74.5,71,49.8,45.4,37.4,52.3
1896,31.4,32.4,33,57.2,69.2,70.4,73.8,72.5,65.2,50.6,48.6,35.2,53.3
1897,27.4,35,44.6,51,58,67.9,76.2,70.5,67.6,59.2,44.9,36.9,53.3
1898,35.3,32.3,47.8,48.5,63.2,73.8,77.2,74.9,70.2,56,42.7,32.9,54.6
1899,31.4,25.4,40.2,55,65,72.2,75.6,74.2,65.4,59.4,46.2,33.8,53.6
1900,34,29,34.3,52.2,64.8,72.4,76.3,78.7,72.2,62.9,45.4,34.7,54.7
1901,32.5,24.6,41.6,49.1,62,71.8,78.9,75,66.5,56.7,39.2,33,52.6
1902,30.4,26.7,44.2,50.5,64.5,68.4,75.4,71,66.2,57.6,51.2,32.2,53.2
1903,30.6,33.4,50.1,51.6,66.4,65.8,74.3,72.2,67.4,56.2,39.5,27.6,52.9
1904,25.3,25.8,41.2,46.4,64,70.9,72.8,70.7,67.6,54.6,43.8,31.2,51.2
1905,26.2,24.6,45.4,50.6,63.5,71.2,74.6,72.1,65.8,54.8,40.4,35.2,52
1906,38.4,28.9,33.8,51.4,62.2,70.8,73.4,75.6,69.6,53.4,43.2,33.2,52.8
1907,34.7,26.4,46.2,43.8,56.4,65.8,72.6,69.8,66.6,50,41,35.2,50.7
1908,30.4,28,44.6,51.4,63.4,70.4,74.9,71.6,68.6,56.6,43.8,34.8,53.2
1909,35.1,37.3,37,50,60.5,70.6,71.2,72.4,65.1,49.6,50.4,26.8,52.2
1910,30.8,28.6,48.8,52.8,57.8,67,74.9,72.8,67.6,57.6,37.1,27,51.9
1911,35.2,35.3,37.1,48.1,68,71,75.4,73.8,68,54.2,39.3,39.1,53.7
1912,20.4,24.7,35.2,52.6,63.8,67.5,73.2,68.8,68.6,55.8,44.1,35.8,50.9
1913,40.2,28.8,43.4,51.6,60.6,70.5,73.6,73.2,65,55.4,45.1,35.8,53.6
