Station #,Station Name,NumRacks,Latitude,Longitude,coordinates
1000,Liberty Ave & Stanwix St,16,40.441326000000004,-80.00467900000001,POINT (-80.00467900000001 40.441326)
1001,Forbes Ave & Market Square,19,40.440877,-80.00308000000001,POINT (-80.00308000000001 40.440877)
1002,Third Ave & Wood St,15,40.439029999999995,-80.00186,POINT (-80.00185999999999 40.43903)
1003,First Ave & Smithfield St (Art Institute),15,40.4372,-80.000375,POINT (-80.00037500000001 40.4372)
1004,First Ave & B St (T Station),15,40.435887,-79.997102,POINT (-79.997102 40.435887)
1005,Forbes Ave & Grant St,13,40.438882,-79.997592,POINT (-79.997592 40.438882)
1006,Ross St & Sixth Ave (Steel Plaza T Station),7,40.440193,-79.99508399999999,POINT (-79.99508399999999 40.440193)
1007,Stevenson St & Forbes Ave,15,40.437643,-79.986695,POINT (-79.986695 40.437643)
1008,Centre Ave & PPG Paints Arena,5,40.440368,-79.988636,POINT (-79.988636 40.440368)
1009,12th St & Penn Ave,19,40.445844,-79.99238000000001,POINT (-79.99238000000001 40.445844)
1010,10th St & Penn Ave (David L. Lawrence Convention Center),15,40.444665,-79.995798,POINT (-79.99579799999999 40.444665)
1011,Fort Duquesne Blvd & 7th,15,40.444777,-80.000831,POINT (-80.00083100000001 40.444777)
1012,North Shore Trail & Ft Duquesne Bridge,31,40.445834000000005,-80.008882,POINT (-80.008882 40.445834)
1013,Isabella St & Federal St (PNC Park),15,40.447165999999996,-80.003566,POINT (-80.00356600000001 40.447166)
1014,Ridge Ave & Brighton Rd (CCAC),19,40.450595,-80.013204,POINT (-80.013204 40.450595)
1015,Federal St & E North Ave,12,40.45509087,-80.00634670000001,POINT (-80.00634670000001 40.45509087)
1016,17th St & Penn Ave,19,40.449631,-79.985893,POINT (-79.985893 40.449631)
1017,21st St & Penn Ave,18,40.451741999999996,-79.98321700000001,POINT (-79.98321700000001 40.451742)
1018,Butler St & Stanton Ave,5,40.47815,-79.9557,POINT (-79.95569999999999 40.47815)
1019,42nd St & Butler St,17,40.47021248,-79.96066332,POINT (-79.96066331999999 40.47021248)
1020,42nd St & Penn Ave (Children's Hospital),8,40.465893,-79.954417,POINT (-79.95441700000001 40.465893)
1021,Taylor St & Liberty Ave,19,40.462769,-79.950867,POINT (-79.950867 40.462769)
1022,Liberty Ave & S Millvale (West Penn Hospital),15,40.459812,-79.945548,POINT (-79.945548 40.459812)
1023,Liberty Ave & Baum Blvd,15,40.456505,-79.939362,POINT (-79.939362 40.456505)
1024,S Negley Ave & Baum Blvd,17,40.458714,-79.933483,POINT (-79.933483 40.458714)
1025,Penn Ave & N Fairmount St,15,40.464443,-79.933188,POINT (-79.933188 40.464443)
1026,Penn Ave & S Whitfield St,13,40.461603000000004,-79.925624,POINT (-79.925624 40.461603)
1027,Shady Ave & Ellsworth Ave,19,40.458971999999996,-79.922023,POINT (-79.922023 40.458972)
1028,Penn Ave & Putnam St (Bakery Square),8,40.455821,-79.91524799999999,POINT (-79.91524799999999 40.455821)
1029,Alder St & S Higland Ave,19,40.457415000000005,-79.92492,POINT (-79.92492 40.457415)
1031,Maryland Ave & Ellsworth Ave,19,40.45628,-79.930962,POINT (-79.93096199999999 40.45628)
1032,Walnut St & College St,14,40.453382,-79.92730999999999,POINT (-79.92730999999999 40.453382)
1033,Ivy St & Walnut St,19,40.45177,-79.932324,POINT (-79.93232399999999 40.45177)
1034,Ellsworth Ave & N Neville St,15,40.448419,-79.947401,POINT (-79.947401 40.448419)
1035,Fifth Ave & S Dithridge St,8,40.446744,-79.95088100000001,POINT (-79.95088100000001 40.446744)
1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),19,40.442398,-79.951479,POINT (-79.95147900000001 40.442398)
1037,Frew St & Schenley Dr,20,40.441032,-79.948042,POINT (-79.948042 40.441032)
1038,Boulevard of the Allies & Parkview Ave,19,40.434338000000004,-79.951877,POINT (-79.951877 40.434338)
1039,Atwood St & Bates,8,40.437987,-79.95366999999999,POINT (-79.95366999999999 40.437987)
1040,O'Hara St and University Place (Soldiers and Sailors Memorial),21,40.445128000000004,-79.957102,POINT (-79.95710200000001 40.445128)
1041,Fifth Ave & S Bouquet St,19,40.442325,-79.957604,POINT (-79.957604 40.442325)
1042,Centre Ave & Kirkpatrick St,12,40.445236,-79.976911,POINT (-79.976911 40.445236)
1043,S Millvale Ave & Centre Ave,13,40.453509999999994,-79.94747,POINT (-79.94747 40.45350999999999)
1044,Zulema St & Coltart Ave,19,40.435986,-79.956942,POINT (-79.956942 40.435986)
1045,S 27th St & Sidney St. (Southside Works),19,40.4279,-79.966112,POINT (-79.966112 40.4279)
1046,S 25th St & E Carson St,19,40.428020000000004,-79.969799,POINT (-79.96979899999999 40.42802)
1047,S 22nd St & E Carson St,19,40.428576,-79.974559,POINT (-79.974559 40.428576)
1048,S 18th St & Sidney St,16,40.429338,-79.980684,POINT (-79.980684 40.429338)
1049,S 12th St & E Carson St,19,40.428661,-79.986358,POINT (-79.986358 40.428661)
1052,McNulty Dr & Forbes Ave,6,40.4377657,-79.9906531,POINT (-79.9906531 40.4377657)
1053,Hamilton Ave & Zodiac Way,5,40.45803,-79.9112,POINT (-79.91119999999999 40.45803)
1054,Smithfield St & Fourth Ave,6,40.43866,-79.9997,POINT (-79.9997 40.43866)
1056,Wood St & Sixth Ave,7,40.44197,-79.9997,POINT (-79.9997 40.44197)
1059,Burns White Centre at 3 Crossings,12,40.45632767,-79.98021126,POINT (-79.98021126 40.45632767)
1060,Penn Ave and 29th St,8,40.45814812,-79.97383833,POINT (-79.97383833000001 40.45814812)
